use 1800 1809,,use 1810 1819,,use 1820 1829,,use 1830 1839,,use 1840 1849,,use 1850 1859,,use 1860 1869,,use 1870 1879,,use 1880 1889,,use 1890 1899
tint,0.226,devil,0.070,ally,0.076,prompt,0.134,clap,0.050,tarry,0.220,clamber,0.153,befall,0.039,trace,0.071,appoint,0.041
spur,0.226,distribute,0.070,target,0.076,shroud,0.134,bequeath,0.050,ripen,0.220,manifest,0.153,execute,0.039,bespeak,0.071,languish,0.041
undergo,0.226,prolong,0.070,think,0.076,prejudice,0.134,pick,0.049,gall,0.220,profess,0.153,pardon,0.039,reap,0.071,refinance,0.040
usher,0.226,peer,0.070,beard,0.075,retreat,0.134,curse,0.049,hem,0.220,debase,0.153,whisper,0.039,pluck,0.071,slat,0.040
confine,0.226,overcome,0.069,borrow,0.075,reconcile,0.134,rig,0.049,forgive,0.219,deplore,0.153,cloud,0.038,distrust,0.071,conceive,0.040
ditto,0.226,guide,0.069,join,0.075,declare,0.134,return,0.049,undergo,0.219,flank,0.153,diversify,0.038,insure,0.071,forbear,0.040
weaken,0.226,delight,0.069,seduce,0.075,abridge,0.134,rush,0.049,levy,0.219,betroth,0.153,peal,0.038,acquaint,0.071,concert,0.040
blacken,0.225,compose,0.069,echo,0.075,page,0.134,strain,0.049,suffice,0.219,strew,0.153,lave,0.038,ennoble,0.071,stratify,0.040
allude,0.225,brown,0.069,shoot,0.075,strive,0.134,camp,0.049,bustle,0.219,emanate,0.153,distinguish,0.038,debase,0.071,twinkle,0.040
droop,0.225,bob,0.069,reassure,0.075,dishearten,0.134,coincide,0.049,value,0.219,lavish,0.153,charter,0.038,deserve,0.071,sup,0.040
delineate,0.225,bruise,0.069,gild,0.075,admit,0.134,exhibit,0.049,discontent,0.219,reap,0.153,exult,0.038,derive,0.071,surmount,0.040
depose,0.225,revenge,0.069,neighbor,0.075,undergo,0.134,tour,0.049,steamer,0.219,thrust,0.153,heave,0.038,scruple,0.071,minister,0.040
devise,0.225,represent,0.069,minister,0.075,guess,0.134,entitle,0.049,diminish,0.219,dangle,0.153,thrust,0.038,convict,0.071,ascertain,0.040
despair,0.225,wait,0.068,attach,0.075,suppress,0.134,redeem,0.049,assert,0.218,stain,0.153,frost,0.038,beckon,0.071,redouble,0.040
extricate,0.225,privilege,0.068,drip,0.075,blight,0.134,pierce,0.049,banish,0.218,compel,0.153,despair,0.038,lengthen,0.071,accord,0.040
precipitate,0.225,fear,0.068,blend,0.074,perpetrate,0.134,whitewash,0.049,overrun,0.218,reproach,0.153,entrust,0.038,vanish,0.071,pardon,0.040
forfeit,0.225,awaken,0.068,pause,0.074,assent,0.134,project,0.049,gleam,0.218,suffice,0.153,retire,0.037,transact,0.071,illustrate,0.040
commend,0.225,appeal,0.068,launch,0.074,recede,0.134,intersect,0.049,cleave,0.218,gallop,0.153,blight,0.037,verse,0.071,manifest,0.040
par,0.225,star,0.068,char,0.074,usher,0.134,braid,0.049,dispense,0.218,thwart,0.153,enclose,0.037,fool,0.071,diminish,0.040
heap,0.225,resemble,0.068,market,0.074,dangle,0.134,kidnap,0.049,consecrate,0.218,quench,0.153,chant,0.037,caress,0.071,introduce,0.040
endow,0.225,buy,0.068,restrain,0.074,waver,0.134,surge,0.049,martyr,0.218,groan,0.153,devour,0.037,dilapidate,0.071,mortify,0.040
verse,0.225,thrive,0.068,brace,0.074,suspend,0.133,reinforce,0.049,wend,0.218,indulge,0.152,penetrate,0.037,impart,0.071,dishearten,0.040
forbear,0.225,annex,0.067,captain,0.074,mend,0.133,subject,0.048,deceive,0.217,languish,0.152,languish,0.037,sup,0.071,strew,0.040
woo,0.225,front,0.067,open,0.074,weaken,0.133,authorize,0.048,comply,0.217,weaken,0.152,skirmish,0.037,marry,0.071,influence,0.040
apprehend,0.225,knit,0.067,endorse,0.074,flesh,0.133,betray,0.048,redouble,0.217,confess,0.152,absent,0.037,deceive,0.071,flesh,0.040
suffer,0.225,top,0.067,equip,0.074,skirmish,0.133,enlist,0.048,transmit,0.217,abate,0.152,reside,0.037,shun,0.071,oust,0.040
bind,0.225,pervert,0.067,fit,0.074,incur,0.133,forgive,0.048,endow,0.217,accuse,0.152,transact,0.036,penetrate,0.071,pervert,0.040
vanish,0.224,spirit,0.067,assess,0.074,exult,0.133,park,0.048,abridge,0.216,tremble,0.152,indict,0.036,value,0.071,remonstrate,0.040
adore,0.224,care,0.067,tin,0.074,betroth,0.133,handwrite,0.048,pry,0.216,obey,0.152,impend,0.036,brood,0.071,amend,0.040
gratify,0.224,partake,0.067,recognize,0.074,debase,0.133,finance,0.048,canton,0.216,frost,0.152,cost,0.036,diminish,0.071,guess,0.040
pioneer,0.224,redden,0.067,search,0.074,heighten,0.133,wish,0.048,accuse,0.215,ache,0.152,remain,0.036,par,0.071,reap,0.040
amend,0.224,rig,0.067,call,0.074,impute,0.133,subscribe,0.048,murmur,0.215,twinkle,0.152,variegate,0.036,twinkle,0.071,peal,0.040
dismay,0.224,murmur,0.067,hedge,0.074,grieve,0.133,grin,0.048,proceed,0.215,conclude,0.152,amuse,0.036,strengthen,0.071,dispose,0.040
diminish,0.224,grapple,0.067,indict,0.074,suppose,0.133,negotiate,0.048,meddle,0.215,hem,0.152,blot,0.036,flatter,0.071,precipitate,0.040
massacre,0.224,restructure,0.067,harry,0.073,slacken,0.133,dream,0.048,affix,0.215,undulate,0.152,uncover,0.036,marshal,0.071,par,0.040
pronounce,0.224,ditto,0.067,interest,0.073,heave,0.133,organize,0.048,disperse,0.214,mention,0.152,animate,0.036,commemorate,0.070,blacken,0.040
obey,0.224,style,0.067,pioneer,0.073,strew,0.133,twin,0.048,wive,0.214,pluck,0.152,recede,0.036,order,0.070,gallop,0.040
deem,0.224,imbibe,0.067,assassinate,0.073,enjoin,0.133,insist,0.048,devote,0.214,befall,0.151,seel,0.036,conceal,0.070,decree,0.040
reside,0.224,reap,0.067,sling,0.073,bustle,0.133,amend,0.048,preside,0.214,shriek,0.151,reap,0.035,intend,0.070,adjoin,0.040
seize,0.224,evacuate,0.067,author,0.073,accord,0.133,skirmish,0.048,intrude,0.214,inflame,0.151,savage,0.035,recruit,0.070,cling,0.040
indulge,0.223,damp,0.067,cover,0.073,devise,0.133,breakfast,0.048,suppress,0.214,overwhelm,0.151,throng,0.035,depose,0.070,scar,0.040
deceive,0.223,nod,0.067,recount,0.073,spoil,0.133,deter,0.047,procure,0.214,affirm,0.151,tremble,0.035,affect,0.070,exult,0.040
strengthen,0.223,dissatisfy,0.067,belong,0.073,bestow,0.133,mount,0.047,author,0.214,skirmish,0.151,elate,0.035,distinguish,0.070,garrison,0.040
dispense,0.223,gleam,0.067,rally,0.073,assert,0.133,dispatch,0.047,besiege,0.214,grieve,0.151,scribe,0.035,multiply,0.070,insure,0.040
savage,0.223,invent,0.067,pass,0.073,ennoble,0.133,recall,0.047,subside,0.214,berth,0.151,divine,0.035,inscribe,0.070,impart,0.040
acquit,0.223,substitute,0.067,coach,0.073,ail,0.133,spend,0.047,roar,0.214,declare,0.151,bury,0.035,recur,0.070,heave,0.040
reign,0.223,ruffle,0.067,float,0.073,entrust,0.133,bolt,0.047,overwhelm,0.213,revolve,0.151,gallop,0.035,blight,0.070,abate,0.040
frank,0.223,recall,0.067,travel,0.073,forecast,0.132,retire,0.047,expense,0.213,linger,0.151,shriek,0.035,elate,0.070,scribe,0.040
canton,0.223,menace,0.066,tend,0.073,conform,0.132,affirm,0.047,augment,0.213,civilize,0.151,caress,0.035,dispense,0.070,hedge,0.040
undulate,0.223,deliver,0.066,congratulate,0.073,estimate,0.132,shorten,0.047,strew,0.213,retreat,0.151,obey,0.034,impute,0.070,enclose,0.040
enable,0.222,caress,0.066,clothe,0.073,decree,0.132,defy,0.047,undertake,0.212,wend,0.151,murmur,0.034,introduce,0.070,encircle,0.040
fortify,0.222,contribute,0.066,recline,0.073,elude,0.132,clerk,0.047,weaken,0.212,encircle,0.151,linger,0.034,lash,0.070,condemn,0.039
lord,0.222,efface,0.066,tease,0.073,intersperse,0.132,root,0.047,peg,0.212,invoke,0.151,soar,0.034,enjoin,0.070,bespeak,0.039
abound,0.222,usher,0.066,patch,0.072,scruple,0.132,adhere,0.047,war,0.212,intersect,0.151,depend,0.034,recover,0.070,sole,0.039
revive,0.222,intend,0.066,share,0.072,interpose,0.132,wan,0.047,acquit,0.212,murmur,0.151,bespeak,0.034,repudiate,0.070,bewilder,0.039
wan,0.222,traverse,0.066,bell,0.072,pronounce,0.132,alter,0.047,convulse,0.212,aggregate,0.151,waver,0.034,defray,0.070,resound,0.039
scar,0.222,convict,0.066,discount,0.072,minister,0.132,cast,0.047,defile,0.211,rout,0.150,neglect,0.034,revolve,0.070,fear,0.039
vow,0.222,aim,0.066,recite,0.072,forbear,0.132,grudge,0.047,clasp,0.211,dedicate,0.150,sneer,0.034,quicken,0.070,confederate,0.039
consist,0.222,mother,0.066,gag,0.072,subjoin,0.132,accrue,0.047,ray,0.211,hum,0.150,wive,0.034,furnish,0.070,ruffle,0.039
voyage,0.222,anchor,0.066,oppose,0.072,prick,0.132,coach,0.047,condemn,0.211,indent,0.150,utter,0.034,muster,0.070,recede,0.039
append,0.222,church,0.066,support,0.072,borrow,0.132,oblige,0.047,retreat,0.211,confide,0.150,master,0.034,settle,0.070,flit,0.039
martyr,0.222,spark,0.065,challenge,0.072,elapse,0.132,strand,0.047,manifest,0.211,frighten,0.150,shroud,0.034,languish,0.070,gall,0.039
pluck,0.221,slacken,0.065,listen,0.072,assail,0.132,ring,0.046,import,0.210,reconcile,0.150,radiate,0.034,throb,0.070,avow,0.039
manufacture,0.221,shun,0.065,wrap,0.072,inaugurate,0.132,ordain,0.046,influence,0.210,soften,0.150,obstruct,0.034,linger,0.070,rise,0.039
expel,0.221,gall,0.065,find,0.072,enliven,0.132,lease,0.046,murder,0.210,obscure,0.150,bark,0.034,widow,0.070,impel,0.039
plat,0.221,civilize,0.065,hatch,0.072,impel,0.132,annex,0.046,usher,0.210,stow,0.150,peg,0.034,bustle,0.070,knight,0.039
bless,0.221,languish,0.065,busy,0.072,discharge,0.132,assemble,0.046,irrigate,0.210,precipitate,0.150,ordain,0.033,undergo,0.070,compel,0.039
tarry,0.221,frequent,0.065,trip,0.072,inspire,0.132,trail,0.046,summit,0.210,baptize,0.149,assign,0.033,condescend,0.070,rein,0.039
ray,0.221,mass,0.065,terrace,0.072,transpire,0.132,reside,0.046,impart,0.210,accord,0.149,abstract,0.033,enumerate,0.070,blot,0.039
hum,0.221,pay,0.065,vote,0.072,encroach,0.132,commission,0.046,rival,0.209,remit,0.149,menace,0.033,neglect,0.070,bind,0.039
rank,0.221,damage,0.065,crest,0.072,preside,0.132,nominate,0.046,ordain,0.209,influence,0.149,assemble,0.033,shiver,0.070,efface,0.039
reform,0.220,rhyme,0.065,depart,0.072,excite,0.132,tie,0.046,sow,0.209,rivet,0.149,defy,0.033,variegate,0.070,encroach,0.039
swell,0.220,press,0.065,knit,0.072,diminish,0.132,master,0.046,remain,0.209,supplant,0.149,widen,0.033,declare,0.070,inflame,0.039
abhor,0.220,launch,0.065,frank,0.072,proportion,0.132,stunt,0.046,aggregate,0.209,waft,0.149,appreciate,0.033,deem,0.070,steamer,0.039
pursue,0.220,become,0.065,begin,0.072,embattle,0.132,strike,0.046,cling,0.209,widow,0.149,impart,0.033,arise,0.070,plunder,0.039
grumble,0.220,quarrel,0.065,fade,0.072,plunge,0.132,conquer,0.046,civilize,0.209,discourse,0.149,perplex,0.032,spark,0.070,elapse,0.039
unite,0.220,inflict,0.065,belt,0.071,license,0.132,insinuate,0.046,ditto,0.208,rank,0.149,invade,0.032,flank,0.070,perpetrate,0.039
awaken,0.220,retake,0.065,notice,0.071,persevere,0.132,soldier,0.046,reside,0.208,promise,0.149,swell,0.032,coincide,0.070,descend,0.039
scatter,0.220,copy,0.065,bowl,0.071,beset,0.132,card,0.046,gallop,0.208,din,0.149,reconcile,0.032,seize,0.070,depute,0.039
strew,0.220,discourage,0.065,shade,0.071,repose,0.132,intend,0.046,administer,0.208,blot,0.149,privilege,0.032,scribe,0.070,radiate,0.039
deprive,0.220,praise,0.065,extinguish,0.071,promulgate,0.132,mutilate,0.046,seel,0.207,publish,0.149,assent,0.032,remainder,0.070,recite,0.039
humble,0.219,proportion,0.065,pay,0.071,praise,0.132,cut,0.046,poison,0.207,assent,0.148,abound,0.032,vow,0.070,heap,0.039
ebb,0.219,sear,0.065,widow,0.071,bewilder,0.132,compel,0.046,conform,0.207,induce,0.148,condemn,0.032,beset,0.069,squire,0.039
transact,0.219,gallop,0.065,update,0.071,acquire,0.132,cap,0.045,waver,0.207,perpetuate,0.148,compose,0.032,suffice,0.069,betroth,0.039
bore,0.219,bestow,0.064,weigh,0.071,heap,0.132,fund,0.045,bosom,0.207,exalt,0.148,wag,0.032,unite,0.069,elate,0.039
plunder,0.219,discharge,0.064,swamp,0.071,behold,0.131,precipitate,0.045,furrow,0.207,assure,0.148,surmount,0.032,civilize,0.069,aggregate,0.039
ascertain,0.219,depute,0.064,recall,0.071,inscribe,0.131,range,0.045,insure,0.207,fuse,0.148,enlarge,0.032,plead,0.069,inaugurate,0.039
thwart,0.219,scruple,0.064,pray,0.071,sanction,0.131,mislead,0.045,resign,0.206,multiply,0.148,hem,0.032,pioneer,0.069,appeal,0.039
quiver,0.219,storm,0.064,nestle,0.071,abound,0.131,quarrel,0.045,blot,0.206,irrigate,0.148,breakfast,0.031,mortify,0.069,resent,0.039
shorten,0.219,commission,0.064,approve,0.071,massacre,0.131,page,0.045,endeavor,0.206,boil,0.148,breed,0.031,rise,0.069,hesitate,0.039
mitigate,0.218,tenant,0.064,phrase,0.071,contribute,0.131,expense,0.045,consign,0.206,prolong,0.148,repress,0.031,substitute,0.069,surge,0.039
stain,0.218,neglect,0.064,combine,0.071,hem,0.131,match,0.045,tremble,0.206,manufacture,0.148,intersect,0.031,tarry,0.069,imbibe,0.039
enlarge,0.218,elapse,0.064,dress,0.071,exceed,0.131,channel,0.045,avert,0.206,throng,0.148,spoil,0.031,spend,0.069,liberate,0.039
owe,0.218,dilapidate,0.064,dig,0.071,deform,0.131,distrust,0.045,acquaint,0.206,divine,0.148,gin,0.031,shriek,0.069,calculate,0.039
reconcile,0.218,inaugurate,0.064,ejaculate,0.071,remonstrate,0.131,sear,0.045,appoint,0.206,welsh,0.148,imbibe,0.031,persuade,0.069,range,0.039
increase,0.218,deposit,0.064,elicit,0.071,oblige,0.131,peal,0.045,mingle,0.206,conceal,0.148,exalt,0.031,scotch,0.069,shanghai,0.039
thunder,0.218,destine,0.064,harm,0.071,engender,0.131,address,0.045,displease,0.205,dispose,0.148,restore,0.031,propose,0.069,wend,0.039
prostrate,0.218,concur,0.064,release,0.071,commend,0.131,release,0.045,mantle,0.205,provoke,0.148,publish,0.031,forecast,0.069,adjourn,0.039
stow,0.218,moon,0.064,glass,0.071,supplant,0.131,premier,0.045,shriek,0.205,compromise,0.148,enliven,0.031,commend,0.069,suffer,0.039
reckon,0.218,heave,0.064,feather,0.071,flatter,0.131,vanish,0.045,confide,0.205,humble,0.148,confess,0.031,procure,0.069,cost,0.038
persuade,0.218,dwell,0.064,block,0.071,deplore,0.131,surprise,0.045,vow,0.204,shudder,0.148,ting,0.031,embody,0.069,anchor,0.038
exclaim,0.217,pinch,0.064,state,0.070,awaken,0.131,prevail,0.045,depose,0.204,spark,0.148,stifle,0.031,heal,0.069,map,0.038
assure,0.217,correspond,0.064,copy,0.070,survey,0.131,commute,0.045,transact,0.204,prosecute,0.148,mantle,0.030,inculcate,0.069,subjoin,0.038
undertake,0.217,decree,0.064,estimate,0.070,ply,0.131,market,0.045,corroborate,0.204,redouble,0.147,weaken,0.030,assure,0.069,flicker,0.038
frighten,0.217,pardon,0.064,brim,0.070,plat,0.131,round,0.045,dedicate,0.204,bleed,0.147,pirate,0.030,compose,0.069,match,0.038
deplore,0.217,grieve,0.064,eye,0.070,sojourn,0.131,resist,0.045,enrich,0.204,flicker,0.147,estimate,0.030,slave,0.069,dilapidate,0.038
condemn,0.217,succeed,0.064,concert,0.070,bosom,0.131,deceive,0.044,utter,0.204,dismay,0.147,recognize,0.030,vary,0.069,promise,0.038
dissatisfy,0.217,hire,0.064,replace,0.070,render,0.131,trigger,0.044,humble,0.204,banish,0.147,reproach,0.030,confine,0.069,expel,0.038
utter,0.217,perpetrate,0.064,diversify,0.070,address,0.131,jam,0.044,lament,0.204,surmise,0.147,redouble,0.030,knight,0.069,measure,0.038
befall,0.217,ting,0.064,smash,0.070,dwell,0.131,league,0.044,delay,0.203,cleave,0.147,decree,0.030,perplex,0.068,dismiss,0.038
animate,0.217,undulate,0.064,mingle,0.070,ache,0.131,linger,0.044,charter,0.203,heave,0.147,recite,0.030,retort,0.068,score,0.038
moor,0.217,bereave,0.064,suggest,0.070,influence,0.131,trap,0.044,inflict,0.203,condescend,0.147,procure,0.030,relate,0.068,variegate,0.038
mingle,0.217,assent,0.064,prowl,0.070,compose,0.131,corroborate,0.044,intersperse,0.203,heap,0.147,defray,0.030,dissolve,0.068,deceive,0.038
assign,0.216,take,0.064,park,0.070,illustrate,0.131,uncover,0.044,divert,0.203,wrest,0.147,rivet,0.030,assail,0.068,teem,0.038
promise,0.216,adjoin,0.064,slight,0.070,govern,0.131,overflow,0.044,elude,0.203,grudge,0.147,belong,0.030,pardon,0.068,rout,0.038
indent,0.216,introduce,0.064,group,0.070,cast,0.131,shore,0.044,accrue,0.203,extract,0.147,chamber,0.030,exempt,0.068,seclude,0.038
lave,0.216,summit,0.064,venture,0.070,defray,0.131,partake,0.044,suppose,0.202,lament,0.147,wrest,0.029,redouble,0.068,accuse,0.038
stratify,0.216,cloud,0.064,ripple,0.070,rend,0.131,powder,0.044,sever,0.202,facilitate,0.147,repeat,0.029,guess,0.068,quiver,0.038
espouse,0.216,overturn,0.064,twinkle,0.070,owe,0.131,sketch,0.044,claim,0.202,regulate,0.147,intend,0.029,eclipse,0.068,daunt,0.038
divert,0.216,braid,0.064,account,0.070,pardon,0.131,curl,0.044,doubt,0.202,tenant,0.147,seize,0.029,peal,0.068,rank,0.038
brigade,0.216,forbear,0.064,project,0.070,quarrel,0.131,model,0.044,smelt,0.202,martyr,0.146,accrue,0.029,savage,0.068,berth,0.038
din,0.216,garrison,0.064,curtain,0.070,regiment,0.131,club,0.044,pardon,0.202,enlarge,0.146,accord,0.029,exalt,0.068,enjoin,0.038
ordain,0.216,stain,0.064,restore,0.070,concur,0.131,warn,0.044,inhabit,0.201,cloud,0.146,score,0.029,master,0.068,seethe,0.038
inherit,0.215,work,0.064,collect,0.070,ordain,0.131,forecast,0.043,wilt,0.201,animate,0.146,fool,0.029,mar,0.068,enliven,0.038
equal,0.215,survey,0.064,repent,0.070,ripen,0.131,conduct,0.043,voyage,0.201,recruit,0.146,endow,0.029,expense,0.068,exclaim,0.038
throng,0.215,scend,0.064,mix,0.070,impart,0.131,ripple,0.043,assure,0.201,divert,0.146,devote,0.029,enrich,0.068,endeavor,0.038
annex,0.215,rival,0.064,overlook,0.070,voyage,0.131,court,0.043,bellow,0.201,dismiss,0.146,intersperse,0.029,cost,0.068,bellow,0.038
grant,0.215,lash,0.064,foul,0.070,persist,0.131,refrain,0.043,sear,0.201,laud,0.146,rebel,0.029,sow,0.068,stag,0.038
caress,0.215,soften,0.064,drift,0.070,garrison,0.131,challenge,0.043,commission,0.201,sigh,0.146,glitter,0.029,abate,0.068,wail,0.038
compare,0.215,parch,0.064,taste,0.070,woo,0.130,horn,0.043,circulate,0.200,occur,0.146,guess,0.029,miss,0.068,celebrate,0.038
perpetuate,0.215,spoil,0.063,detect,0.070,weigh,0.130,earth,0.043,shroud,0.200,disorder,0.146,rustle,0.029,privilege,0.068,accede,0.038
double,0.215,betray,0.063,buy,0.070,languish,0.130,doubt,0.043,flit,0.200,emit,0.146,quiver,0.029,precipitate,0.067,adduce,0.038
char,0.215,meddle,0.063,lot,0.070,insist,0.130,perceive,0.043,heap,0.200,fortify,0.146,compel,0.029,radiate,0.067,beckon,0.038
overwhelm,0.215,inspire,0.063,message,0.070,pluck,0.130,cord,0.043,forfeit,0.200,penetrate,0.146,refrain,0.029,inflame,0.067,allude,0.038
revenge,0.215,descry,0.063,testify,0.070,muster,0.130,band,0.043,fasten,0.200,abolish,0.146,earth,0.029,defy,0.067,embattle,0.038
infuse,0.215,enliven,0.063,puff,0.070,insure,0.130,scramble,0.043,exempt,0.200,swell,0.146,bless,0.029,meddle,0.067,impute,0.038
tremble,0.215,seclude,0.063,consider,0.070,tremble,0.130,save,0.043,penetrate,0.200,convulse,0.146,verse,0.029,crest,0.067,skirmish,0.038
cannon,0.215,peal,0.063,picture,0.069,confine,0.130,hedge,0.043,despair,0.200,savage,0.146,coal,0.028,refer,0.067,excuse,0.038
import,0.215,befall,0.063,ford,0.069,bind,0.130,depart,0.043,flesh,0.199,sob,0.145,darken,0.028,illustrate,0.067,penetrate,0.038
commission,0.215,accord,0.063,capture,0.069,comply,0.130,fit,0.043,persist,0.199,stagger,0.145,crow,0.028,clamber,0.067,tap,0.038
wrest,0.214,bore,0.063,wine,0.069,dismiss,0.130,bob,0.043,plunder,0.199,prompt,0.145,massacre,0.028,supplant,0.067,wreathe,0.038
ridicule,0.214,sanction,0.063,afford,0.069,quench,0.130,ascend,0.043,nominate,0.199,relate,0.145,chap,0.028,recommend,0.067,assail,0.038
seethe,0.214,mar,0.063,shield,0.069,constitute,0.130,promote,0.043,assign,0.199,stroke,0.145,owe,0.028,lament,0.067,ding,0.038
sow,0.214,ail,0.063,court,0.069,wreathe,0.130,conclude,0.042,behold,0.199,plunder,0.145,fly,0.028,din,0.067,frank,0.038
regulate,0.214,pride,0.063,mistake,0.069,administer,0.130,ebb,0.042,supplant,0.199,contribute,0.145,dispense,0.028,excite,0.067,ennoble,0.038
suppose,0.214,waver,0.063,reveal,0.069,assign,0.130,find,0.042,awaken,0.199,distrust,0.145,teem,0.027,enclose,0.067,doubt,0.038
cleave,0.214,teem,0.063,assure,0.069,fin,0.130,buy,0.042,quicken,0.199,intersperse,0.145,thrive,0.027,surmise,0.067,thrive,0.038
provoke,0.213,throb,0.063,chronicle,0.069,elect,0.130,ping,0.042,fortify,0.199,seel,0.145,dismay,0.027,arouse,0.067,proportion,0.038
mend,0.213,wreathe,0.063,career,0.069,furnish,0.130,train,0.042,thrive,0.199,adjourn,0.145,suppose,0.027,weaken,0.067,underlie,0.038
reproach,0.213,engrave,0.063,smell,0.069,befall,0.130,chant,0.042,enlist,0.199,exclaim,0.145,ripen,0.027,impel,0.067,annex,0.038
stifle,0.213,widow,0.063,wan,0.069,recur,0.130,bake,0.042,agitate,0.198,wag,0.145,append,0.027,wink,0.067,frequent,0.038
retard,0.213,forfeit,0.063,wear,0.069,bowl,0.130,rally,0.042,hesitate,0.198,gore,0.145,curl,0.027,berth,0.067,lash,0.038
distinguish,0.213,levy,0.063,narrow,0.069,receipt,0.130,forget,0.042,estimate,0.198,intrigue,0.145,liberate,0.027,banish,0.067,regulate,0.038
preside,0.213,surmount,0.063,highlight,0.069,scheme,0.130,reserve,0.042,impoverish,0.198,inherit,0.145,rejoin,0.027,strive,0.067,persist,0.038
polish,0.213,predict,0.063,petition,0.069,testify,0.130,hail,0.042,pursue,0.197,navigate,0.145,scramble,0.027,dismiss,0.067,impend,0.038
suppress,0.213,embark,0.063,wait,0.069,divide,0.129,devil,0.042,divine,0.197,smelt,0.145,rejoice,0.027,trickle,0.067,startle,0.038
bleed,0.213,debase,0.063,lecture,0.069,purify,0.129,widow,0.042,slat,0.197,endeavor,0.145,inherit,0.027,groan,0.067,administer,0.037
intrigue,0.213,incur,0.063,check,0.069,dream,0.129,knight,0.042,dwindle,0.197,fade,0.145,struggle,0.027,afflict,0.067,swamp,0.037
